position,player_name,lane_agility_time,shuttle_run,three_quarter_sprint,standing_vertical_leap,max_vertical_leap,max_bench_press_repetitions
SG,Quinndary Weatherspoon,11.57,3.15,3.16,31.0,38.0,
PG,Coby White,,,,,,
SF,Kris Wilkes,10.39,3.09,3.34,27.5,35.0,4.0
PF,Grant Williams,10.83,3.27,3.33,26.0,31.5,20.0
PF,Zion Williamson,,,,,,
SF,Dylan Windler,10.7,2.94,3.3,29.0,37.5,8.0
SG,Rawle Alkins,11.5,3.09,3.15,32.5,40.5,10.0
SG,Grayson Allen,10.31,3.04,3.15,32.5,40.5,
PF,Kostas Antetokounmpo,12.48,3.48,3.21,29.5,35.0,
C,Udoka Azubuike,12.97,3.65,3.12,31.0,31.5,11.0
C,Mohamed Bamba,,,,,,
PG-SG,Jaylen Barford,11.39,3.21,3.31,27.0,33.0,7.0
SG-SF,Keita Bates-Diop,11.2,3.28,3.17,30.5,35.0,11.0
SG,Tyus Battle,11.04,2.87,3.07,32.0,37.5,9.0
SG-SF,Brian Bowen,11.58,3.33,3.28,30.5,34.0,
SF,Miles Bridges,,,,,,
SG-PG,Bruce Brown,11.11,3.44,3.2,32.5,38.0,17.0
SF,Troy Brown,11.51,3.29,3.33,26.0,33.0,5.0
PG,Jalen Brunson,10.59,3.11,3.15,29.0,37.0,7.0
PG,Tony Carr,11.89,3.4,3.17,25.0,31.5,
PG,Jevon Carter,11.04,3.05,3.18,29.0,36.5,14.0
C-PF,Wendell Carter,,,,,,
SG,Donte DiVincenzo,10.72,3.12,3.11,34.5,42.0,12.0
SG,Hamidou Diallo,10.53,3.14,3.1,32.5,40.5,1.0
PG,Trevon Duval,10.93,3.09,3.18,34.0,41.5,6.0
PG,Carsen Edwards,11.59,3.15,3.2,28.5,34.5,12.0
PG,Keenan Evans,,,,,,
SG-SF,Jacob Evans,11.11,3.14,3.2,28.0,35.5,8.0
C,Bruno Fernando,12.19,3.03,3.23,29.0,35.0,11.0
SF-SG,Melvin Frazier,11.24,3.08,3.08,31.0,40.5,
PG,Shai Gilgeous-Alexander,,,,,,
PG,Devonte Graham,11.28,3.15,3.21,31.0,37.0,14.0
C,Isaac Haas,,,,,,
SG,Devon Hall,10.95,3.16,3.27,25.0,31.0,6.0
PG,Jaylen Hands,12.11,3.16,3.13,31.5,39.5,6.0
PF,Kevin Hervey,11.28,3.15,3.36,27.5,32.0,4.0
PG,Aaron Holiday,10.96,3.22,3.27,25.5,33.0,
SG,Kevin Huerter,10.89,2.97,3.09,31.0,38.0,9.0
PF-C,Jaren Jackson,,,,,,
PF,Justin Jackson,,,,,,
PF,Alize Johnson,11.83,3.28,3.38,25.0,31.0,8.0
SF-SG,George King,10.75,3.08,3.29,31.0,39.0,15.0
SF,Kevin Knox,,,,,,
C,Sagaba Konate,12.28,3.36,3.28,31.5,35.0,12.0
SF-SG,Caleb Martin,10.43,2.75,3.26,29.0,36.5,6.0
SG-SF,Cody Martin,10.64,3.05,3.09,29.0,36.5,4.0
PF-C,Yante Maten,11.35,3.13,3.17,27.0,31.5,18.0
C,Brandon McCoy,11.77,3.31,3.23,27.5,32.0,9.0
SG-PG,DeAnthony Melton,11.48,3.33,3.23,31.0,36.5,1.0
PF-C,Chimezie Metu,11.89,3.25,3.33,29.5,36.0,5.0
SG-PG,Shake Milton,11.07,3.19,3.25,30.0,33.0,2.0
SG-SF,Sviatoslav Mykhailiuk,11.25,3.18,3.15,30.5,37.0,4.0
SG,Malik Newman,10.9,3.18,3.13,27.5,33.5,
SG,Josh Okogie,11.08,3.03,3.04,33.0,42.0,12.0
SG-SF,Theo Pinson,11.53,3.11,3.22,27.0,34.0,7.0
C-PF,Jontay Porter,11.9,3.07,3.4,25.5,31.0,9.0
SF-PF,Michael Porter,,,,,,
PF,Billy Preston,11.26,3.35,3.2,25.0,33.0,
SG,Jerome Robinson,,,,,,
PG,Collin Sexton,,,,,,
PG,Landry Shamet,11.26,3.21,3.11,31.0,39.5,8.0
SG-PG,Anfernee Simons,11.27,3.16,3.1,32.0,41.5,1.0
SF-SG,Zhaire Smith,11.02,3.15,3.05,33.0,41.5,10.0
PF,Ray Spalding,11.48,3.2,3.34,26.0,32.0,12.0
PF-C,Omari Spellman,12.28,3.35,3.38,28.5,35.5,8.0
SG,Khyri Thomas,10.96,3.18,3.18,30.0,35.0,14.0
SG,Gary Trent,11.37,2.99,3.12,33.5,39.5,12.0
SG,Allonzo Trier,11.02,2.97,3.14,32.0,40.0,11.0
C-PF,Moritz Wagner,11.48,3.07,3.18,27.0,34.0,8.0
SG,Lonnie Walker,10.87,2.91,3.06,31.5,40.0,12.0
PF,PJ Washington,11.39,3.43,3.2,27.0,34.0,3.0
C,Austin Wiley,12.79,3.27,3.3,28.0,33.5,14.0
SF,Kris Wilkes,11.29,3.16,3.24,28.0,35.5,1.0
SF,Kenrich Williams,10.86,3.28,3.19,28.0,33.0,14.0
PG,Trae Young,,,,,,
PF-C,Edrice Adebayo,11.94,3.24,3.24,33.5,38.5,12.0
SG-SF,Rawle Alkins,11.99,3.18,3.3,31.5,40.5,7.0
C,Jarrett Allen,11.82,3.0,3.21,31.5,35.5,4.0
PG,Kadeem Allen,11.24,2.98,3.15,33.0,35.5,7.0
C,Ike Anigbogu,12.52,3.48,3.44,29.5,32.5,11.0
SF,OG Anunoby,,,,,,
SG-SF,Jamel Artis,11.62,3.08,3.44,23.5,31.0,5.0
SG-SF,Dwayne Bacon,11.7,3.22,3.22,30.0,36.5,8.0
SG-SF,V.J. Beachem,11.18,3.19,3.26,30.0,37.0,11.0
PF,Jordan Bell,10.63,2.83,3.21,31.5,38.0,16.0
SF,Jaron Blossomgame,11.47,3.35,3.17,31.0,35.5,16.0
PF,Chris Boucher,,,,,,
C,Tony Bradley,11.79,2.99,3.44,24.5,27.5,5.0
PG,Isaiah Briscoe,10.95,2.85,3.38,28.0,33.5,11.0
SG-SF,Dillon Brooks,11.14,3.24,3.21,31.0,37.5,16.0
PF-C,Thomas Bryant,11.42,3.12,3.37,25.5,33.0,7.0
PF-C,Zach Collins,,,,,,
PF,John Collins,11.66,3.27,3.27,33.0,37.5,15.0
SG-SF,Hamidou Diallo,10.88,2.79,3.11,34.5,44.5,
SG,Tyler Dorsey,10.55,2.98,3.16,30.5,36.0,8.0
SG-SF,Damyean Dotson,11.18,3.03,3.13,31.5,38.0,13.0
SG,PJ Dozier,10.84,2.98,3.15,34.0,39.0,9.0
PG,Jawun Evans,11.34,3.26,3.21,27.5,33.5,1.0
SG-SF,Terrance Ferguson,11.16,3.22,3.32,28.5,38.0,
PG,De?Aaron Fox,,,,,,
PG,Markelle Fultz,,,,,,
PF,Harry Giles,11.08,3.0,3.34,27.0,32.5,5.0
SG-SF,Josh Hart,11.15,3.02,3.18,27.5,35.5,9.0
PF,Nigel Hayes,11.81,2.94,3.27,29.0,33.5,16.0
PF,Isaiah Hicks,12.31,3.31,3.36,31.5,37.0,11.0
SG-SF,Wesley Iwundu,11.25,3.23,3.36,31.5,36.0,5.0
PG,Frank Jackson,10.94,2.7,3.14,34.5,42.0,9.0
SF,Justin Jackson (UMD),11.78,3.08,3.43,26.5,31.5,
SF,Justin Jackson (UNC),10.8,3.06,3.3,29.5,35.5,
SG-SF,Peter Jok,11.34,2.93,3.41,26.5,31.0,
SG-SF,Luke Kennard,,,,,,
SF-SG,Kyle Kuzma,10.72,2.98,3.25,27.0,34.0,12.0
PF,TJ Leaf,11.55,3.27,3.27,29.0,34.5,6.0
PF,Tyler Lydon,11.68,2.81,3.46,29.5,33.5,1.0
PG,Frank Mason III,11.41,3.09,3.18,34.0,41.0,15.0
C,Kennedy Meeks,12.91,3.35,3.5,28.0,30.5,15.0
SG,Donovan Mitchell,11.53,3.07,3.01,36.5,40.5,10.0
PG,Monte Morris,11.0,3.2,3.19,28.0,33.5,8.0
PF,Johnathan Motley,,,,,,
SG-SF,Svi Mykhailiuk,12.4,3.25,3.53,27.0,33.0,8.0
SF-SG,Semi Ojeleye,10.58,3.07,3.16,35.0,40.5,19.0
PF,Cameron Oliver,12.17,3.31,3.16,28.0,39.5,5.0
C,Justin Patton,11.8,3.31,3.46,26.0,30.5,
PF,Alec Peters,,,,,,
PF,Ivan Rabb,12.68,3.23,3.35,28.5,32.5,3.0
SG-SF,Davon Reed,11.37,3.21,3.34,28.5,36.0,12.0
SF,Devin Robinson,12.85,3.61,3.23,35.5,41.5,10.0
PG,Kobi Simmons,11.15,2.98,3.18,30.5,38.5,3.0
PG,Edmond Sumner,,,,,,
PF,Caleb Swanigan,,,,,,
SG-SF,Sindarius Thornwell,11.48,3.03,3.36,27.0,30.5,15.0
PG,Melo Trimble,10.75,2.92,3.27,24.5,32.0,6.0
PF,Moritz Wagner,12.0,2.98,3.35,25.5,32.5,
PG,Derrick Walton Jr.,11.28,3.12,3.29,26.0,32.5,9.0
PF-C,Thomas Welsh,,,,,,11.0
PG,Derrick White,10.84,2.92,3.08,31.0,36.5,10.0
PG,Nigel Williams-Goss,10.42,3.08,3.19,27.5,34.5,10.0
PF,D.J. Wilson,,,,,,
C,Omer Yurtseven,12.85,3.3,3.45,26.0,31.5,6.0
SG,Ron Baker,10.77,2.96,3.45,30.0,35.5,
PG,Wade Baldwin IV,10.45,3.01,3.19,32.5,38.0,
PG,Cat Barber,,,,,,
SG,Malik Beasley,,,,,,
SG-SF,DeAndre Bembry,10.9,2.87,3.17,32.0,38.0,
PF,Ben Bentil,11.16,3.1,3.3,29.0,33.0,
SF,Jaron Blossomgame,11.53,3.26,3.2,35.0,41.0,
PF,Joel Bolomboy,10.26,2.86,3.17,37.5,40.5,
SG,Malcolm Brogdon,10.77,2.64,3.31,30.5,35.5,
SG-SF,Jaylen Brown,,,,,,
PF,Marquese Chriss,11.93,3.05,3.26,32.5,38.5,
SF,Elgin Cook,,,,,,
PG,Isaiah Cousins,10.79,2.97,3.24,30.5,37.0,
PF,Deyonta Davis,,,,,,
PF,Cheick Diallo,11.24,3.3,3.26,31.0,35.0,
PG,Kris Dunn,,,,,,
PF,Henry Ellenson,,,,,,
PF,Perry Ellis,10.73,3.03,3.13,32.0,38.0,
PG,Kay Felder,11.52,2.9,3.15,35.5,44.0,
SF,Dorian Finney-Smith,11.01,3.04,3.27,32.5,35.5,
SG,Michael Gbinije,11.0,3.19,3.12,33.5,37.5,
SG-SF,Daniel Hamilton,11.48,3.2,3.4,26.0,29.0,
SG,Josh Hart,11.15,3.15,3.2,29.5,38.5,
SF-PF,Nigel Hayes,12.11,2.9,3.2,25.5,28.5,
SG,Buddy Hield,,,,,,
SF,Justin Jackson,11.32,2.96,3.26,29.5,34.5,
PG,Demetrius Jackson,10.81,2.87,3.25,37.5,43.5,
PF,Brice Johnson,11.88,2.94,3.2,33.5,38.0,
C,Damian Jones,11.35,3.12,3.2,36.0,37.0,
PF-C,Skal Labissiere,,,,,,
SF,Jake Layman,11.35,2.82,3.24,33.0,39.5,
SG,Caris LeVert,,,,,,
PF-C,Marcus Lee,11.68,3.19,3.25,28.5,35.5,
PF,Thon Maker,11.15,3.09,3.33,32.0,36.5,
PG-SG,Patrick McCaw,11.01,2.97,3.3,30.0,38.0,
SG,Malik Newman,10.88,3.11,3.28,30.0,35.5,
PF,Georges Niang,11.64,3.17,3.49,25.0,31.0,
C,Chinanu Onuaku,11.65,3.0,3.5,27.5,33.5,
PG,Marcus Paige,10.82,2.69,3.15,33.5,39.5,
PG,Gary Payton II,11.57,3.17,3.23,31.5,38.5,
C,Jakob Poeltl,,,,,,
SF,Taurean Prince,10.96,2.8,3.24,34.0,36.0,
PF-C,Zhou Qi,11.27,2.9,3.46,31.5,32.0,
SG-SF,Malachi Richardson,10.56,3.25,3.33,33.0,38.0,
SG,Wayne Selden,,,,,,
PF,Pascal Siakam,11.25,3.09,3.41,30.5,36.5,
C,Diamond Stone,12.02,3.22,3.5,27.0,29.5,
PF,Caleb Swanigan,12.8,,,26.0,29.0,
PG,Melo Trimble,10.57,2.77,3.2,26.5,35.5,
PG,Tyler Ulis,10.8,2.88,3.2,32.5,38.0,
PF,Jarrod Uthoff,11.52,3.03,3.5,29.0,34.5,
SG-SF,Denzel Valentine,10.51,3.22,3.46,27.0,32.0,
PG-SG,Isaiah Whitehead,11.65,3.21,3.34,27.5,35.5,
SF,Troy Williams,10.72,3.08,3.35,30.0,36.0,
PF,Kyle Wiltjer,11.35,3.04,3.48,28.5,35.5,
C,Stephen Zimmerman,12.08,3.16,3.43,26.0,31.0,
PF-C,Cliff Alexander,,,,,,
SF-SG,Justin Anderson,11.13,2.88,3.22,38.0,43.0,12.0
PF,Brandon Ashley,11.21,3.35,3.58,31.5,35.5,9.0
PG,Ryan Boatright,10.71,3.05,3.26,32.0,41.0,10.0
SG,Devin Booker,10.27,2.75,3.28,27.5,34.5,8.0
SF-SG,Anthony Brown,10.94,3.29,3.18,27.5,34.5,4.0
C,Willie Cauley-Stein,,,,,,
PF-C,Rakeem Christmas,11.6,3.3,3.47,29.0,32.0,9.0
SG,Pat Connaughton,10.58,3.08,3.2,37.5,44.0,13.0
PG,Quinn Cook,11.44,3.41,3.38,24.5,31.0,14.0
PF,Branden Dawson,12.22,3.53,3.2,28.5,34.5,12.0
SF,Sam Dekker,10.64,2.96,3.28,25.5,34.5,5.0
SG,Michael Frazier II,10.66,3.02,3.32,27.0,35.0,10.0
SF,Treveon Graham,11.64,3.15,3.3,28.5,31.5,11.0
PG,Jerian Grant,,,,,,
PG-SG,Olivier Hanlan,11.41,3.12,3.25,28.0,34.0,19.0
PF,Montrezl Harrell,,,,,,
PG,Andrew Harrison,11.2,,3.34,26.5,33.0,
SG,Aaron Harrison,,,3.27,28.5,34.5,1.0
SG,Tyler Harvey,10.56,2.93,3.44,26.0,28.5,1.0
SG-PG,Corey Hawkins,10.81,,3.51,28.5,34.0,9.0
SF,Rondae Hollis-Jefferson,10.41,3.19,3.12,32.0,38.0,13.0
PF,Richaun Holmes,11.24,3.31,3.32,32.5,36.0,15.0
PF-SF,Jonathan Holmes,10.95,3.12,3.51,25.5,31.0,
SG,R.J. Hunter,10.87,2.91,3.26,27.5,33.5,1.0
PF,Vince Hunter,11.19,3.06,3.26,33.5,37.5,13.0
C,Dakari Johnson,11.76,2.94,3.62,22.5,25.0,4.0
SF,Stanley Johnson,,,,,,
PG,Tyus Jones,11.84,2.95,3.32,26.5,32.5,2.0
C-PF,Frank Kaminsky,,,,,,
PF,Kevon Looney,,,,,,
PF,Trey Lyles,,,,,,
PF,Jarell Martin,11.2,2.97,3.27,28.5,35.0,19.0
PG,TJ McConnell,10.95,3.09,3.3,26.0,31.5,7.0
PF,Chris McCullough,,,,,,
PF,Jordan Mickey,11.72,3.13,3.28,33.0,37.5,9.0
PF,Larry Nance,10.93,3.01,3.25,29.0,37.5,10.0
SF-SG,Kelly Oubre,11.09,3.12,3.32,34.5,37.0,7.0
PG,Cameron Payne,10.9,2.93,3.28,29.8,35.5,
SG,Terran Petteway,10.91,3.1,3.32,25.0,31.0,15.0
PF,Bobby Portis,11.78,3.28,3.56,25.0,31.5,5.0
SG,Norman Powell,10.69,3.2,3.2,32.5,40.5,5.0
SG-SF,Michael Qualls,11.88,,3.18,34.0,39.5,9.0
PG,Chasson Randle,10.63,2.81,3.2,33.5,39.5,6.0
PG-SG,Terry Rozier,10.84,2.84,3.15,33.0,38.0,7.0
PG-SG,D?Angelo Russell,,,,,,
PG,Keifer Sykes,10.47,3.15,3.13,34.0,43.0,8.0
PG-SG,Marcus Thornton,10.78,2.88,3.02,34.5,43.0,3.0
SF-SG,J.P. Tokoto,10.97,3.2,3.27,34.5,40.0,12.0
C-PF,Myles Turner,,,,,,
C,Robert Upshaw,,,,,,
SG,Rashad Vaughn,11.4,3.1,3.21,28.0,34.0,5.0
PF,Chris Walker,11.25,3.41,3.35,30.5,37.0,6.0
SG,Dez Wells,10.56,3.05,3.2,31.5,39.0,15.0
PF,Alan Williams,12.26,3.54,3.5,25.5,28.5,8.0
SF,Justise Winslow,,,,,,
PF,Christian Wood,,,,,,
PG,Delon Wright,11.16,3.5,3.29,29.5,31.0,4.0
SG,Jordan Adams,12.13,3.05,3.5,24.5,29.5,
SF,Kyle Anderson,,,,,,
SF,Thanasis Antetokounmpo,11.39,3.05,3.18,31.5,39.5,
PF,Jordan Bachynski,12.15,3.03,3.36,29.0,33.0,
PF,Cameron Bairstow,11.39,3.09,3.37,31.0,33.5,
PF,Khem Birch,11.6,3.24,3.26,30.5,35.5,
PF,Alec Brown,12.05,2.91,3.48,27.0,30.0,
SG,Markel Brown,12.62,2.9,3.18,36.5,43.5,
SG,Jabari Brown,11.6,3.26,3.5,28.0,32.0,
PG,Deonte Burton,11.28,3.08,3.28,29.0,39.5,
PG,Semaj Christon,11.55,3.21,3.32,30.5,36.5,
PG,Jordan Clarkson,10.76,2.98,3.28,33.0,38.5,
PG,Aaron Craft,10.78,2.9,3.26,29.0,32.0,
SF,DeAndre Daniels,11.46,3.04,3.44,26.5,32.0,
PG,Spencer Dinwiddie,,,,,,
SF,Cleanthony Early,11.15,2.96,3.18,34.0,40.0,
SF,Melvin Ejim,11.55,3.12,3.14,29.5,35.0,
PG,Tyler Ennis,11.12,2.84,3.3,29.0,36.0,
SG,Dante Exum,10.75,2.88,3.19,31.5,34.5,
SF,C.J. Fair,11.0,3.06,3.32,27.0,35.0,
PF,Aaron Gordon,10.81,2.76,3.27,32.5,39.0,
SF,Jerami Grant,,,,,,
SG,P.J. Hairston,11.12,,3.32,32.0,37.0,
SG,Gary Harris,,,,,,
SG,Joe Harris,11.11,2.92,3.31,28.5,33.5,
SF,Rodney Hood,11.21,3.14,3.38,29.0,36.0,
PF,Cory Jefferson,12.63,3.39,3.36,33.0,37.5,
SG,Nick Johnson,10.8,2.95,3.27,33.5,41.5,
SG,Sean Kilpatrick,,,,,,
PF,Alex Kirk,11.2,3.19,3.48,28.5,31.5,
PG,Zach LaVine,10.42,2.8,3.19,33.5,41.5,
SG,Devyn Marble,11.32,3.08,3.28,29.0,35.0,
PF,James McAdoo,11.61,2.91,3.28,29.5,34.0,
SF,K.J. McDaniels,12.71,3.2,3.1,33.0,37.0,
SF,Doug McDermott,11.1,3.15,3.29,28.5,36.5,
SG,Jordan McRae,11.07,3.15,3.39,27.5,34.5,
PG,Shabazz Napier,11.6,3.13,3.2,30.5,37.5,
PF,Johnny O?Bryant III,11.57,3.32,3.45,31.0,35.5,
SG,Lamar Patterson,11.63,3.13,3.45,27.5,32.5,
PF,Adreian Payne,,,,,,
PG,Elfrid Payton,11.06,2.92,3.23,31.5,35.5,
PF,Dwight Powell,11.28,2.88,3.2,28.5,35.0,
PF,Julius Randle,11.45,3.14,3.27,29.0,35.5,
SF,Glenn Robinson III,11.22,3.04,3.15,36.5,41.5,
SF,LaQuinton Ross,11.97,3.52,3.44,25.0,31.0,
PG,Marcus Smart,10.82,2.96,3.26,33.0,36.0,
PG,Russ Smith,11.57,3.01,3.27,29.5,34.0,
SG,Nik Stauskas,10.79,2.92,3.27,29.0,35.5,
PF,Jarnell Stokes,11.92,3.2,3.26,31.0,36.0,
PG,Xavier Thames,11.48,3.02,3.48,29.0,32.5,
PF,Noah Vonleh,11.45,3.29,3.28,31.0,37.0,
SF,T.J. Warren,11.1,3.04,3.26,27.0,35.5,
SG,C.J. Wilcox,11.3,2.92,3.22,31.0,37.5,
PG,Kendall Williams,10.83,2.85,,27.0,33.0,
PF,Patric Young,11.18,3.06,3.43,32.0,37.5,
SG,James Young,,,,28.0,35.5,
C,Steven Adams,11.85,3.02,3.4,28.5,33.0,16.0
SG,Vander Blue,10.4,2.7,3.14,28.0,37.5,4.0
PG,Lorenzo Brown,11.78,3.24,3.4,28.0,34.0,8.0
SG-SF,Reggie Bullock,11.33,3.3,3.31,31.0,36.5,11.0
PG,Trey Burke,11.2,3.01,3.16,29.5,36.5,3.0
SG,Kentavious Caldwell-Pope,10.6,3.2,3.12,29.0,34.5,7.0
PG,Isaiah Canaan,10.98,2.89,3.22,33.0,40.5,16.0
PF,Jackie Carmichael,11.83,3.07,3.35,30.0,32.0,13.0
PG,Michael Carter-Williams,10.68,3.7,3.22,31.5,41.0,8.0
SF-SG,Will Clyburn,11.68,3.12,3.38,28.0,34.5,3.0
SF-PF,Robert Covington,11.69,3.1,3.34,29.5,36.0,9.0
SG,Allen Crabbe,10.67,3.1,3.32,30.5,36.0,10.0
SG,Seth Curry,,,,,,
PF,Brandon Davies,11.22,3.14,3.5,26.0,31.5,7.0
C,Dewayne Dedmon,12.75,3.26,3.4,28.0,32.5,8.0
C,Gorgui Dieng,,,,,,
SF,James Ennis,11.55,3.06,3.4,29.5,36.5,7.0
SF-SG,Carrick Felix,11.16,3.09,3.25,32.0,38.5,15.0
SG-SF,Jamaal Franklin,,,,,,
C,Rudy Gobert,12.85,3.19,3.57,25.0,29.0,7.0
SG,Archie Goodwin,10.75,3.41,3.27,30.0,36.0,1.0
PG,Erick Green,,,,,,5.0
SG,Tim Hardaway Jr.,10.68,2.93,3.25,31.5,37.5,16.0
SF,Solomon Hill,10.77,2.91,3.19,29.5,37.5,14.0
PF,Richard Howell,,,,,,
C,Colton Iverson,11.52,3.04,3.52,26.5,30.0,12.0
PG,Pierre Jackson,,,,,,
PF,Grant Jerrett,11.85,3.23,3.51,28.5,34.0,2.0
PG,Myck Kabongo,10.64,2.86,3.44,27.5,33.5,2.0
PF-C,Kenny Kadji,11.47,2.88,3.44,34.0,38.0,9.0
PF,Ryan Kelly,,,,,,
PG,Shane Larkin,10.64,3.03,3.08,34.5,44.0,12.0
SG,Ricky Ledo,10.72,3.16,3.32,27.0,33.5,4.0
C,Alex Len,,,,,,
PF-SF,CJ Leslie,10.19,2.79,3.1,32.5,40.5,
PF,Trevor Mbakwe,12.01,2.97,3.32,30.0,36.5,21.0
PG,Ray McCallum,10.82,3.08,3.25,30.5,40.0,5.0
PG-SG,CJ McCollum,11.02,2.91,3.32,32.0,38.5,13.0
SG,Ben McLemore,11.87,3.11,3.27,32.5,42.0,6.0
PF-SF,Tony Mitchell,11.82,3.25,3.52,33.5,38.0,13.0
SF-SG,Shabazz Muhammad,10.99,2.93,3.32,29.5,37.0,10.0
PF,Erik Murphy,12.19,2.96,3.57,24.5,29.5,13.0
C-PF,Mike Muscala,11.76,2.99,3.44,28.0,33.5,5.0
C,Nerlens Noel,,,,,,
SG,Victor Oladipo,10.69,3.14,3.25,33.0,42.0,15.0
PF-C,Kelly Olynyk,11.42,2.99,3.59,24.5,29.5,5.0
SG,Brandon Paul,11.16,2.9,3.37,33.5,39.5,15.0
PF-C,Norvel Pelle,11.49,3.2,3.32,31.0,34.5,
C-PF,Mason Plumlee,10.89,2.76,3.29,30.5,36.0,14.0
SF,Otto Porter,11.25,3.06,3.4,27.0,36.0,9.0
PG,Phil Pressey,10.86,3.02,3.13,33.0,38.5,7.0
SF-SG,Glen Rice,10.99,3.08,3.25,33.0,40.5,10.0
PF-SF,Andre Roberson,11.36,3.02,3.34,30.0,36.5,10.0
PG,Dennis Schroder,11.09,2.86,3.21,30.0,34.0,1.0
PG,Peyton Siva,10.59,2.93,3.16,33.5,41.5,15.0
SF-SG,Tony Snell,11.36,2.84,3.25,30.0,36.5,7.0
SF-PF,James Southerland,10.9,3.03,3.38,29.0,32.0,5.0
SF,Adonis Thomas,11.64,3.11,3.32,34.5,40.5,13.0
SF,Deshaun Thomas,12.94,3.38,3.53,28.5,32.0,5.0
C,Jeff Withey,12.49,3.29,3.47,26.5,29.0,10.0
PG,Nate Wolters,,,,,,8.0
SG-PG,BJ Young,,,,,,
C-PF,Cody Zeller,10.82,2.69,3.15,35.5,37.5,17.0
PF,Quincy Acy,10.48,,3.28,32.0,37.0,13.0
SF-SG,Harrison Barnes,10.93,,3.16,38.0,39.5,15.0
SG-SF,Will Barton,12.5,,3.6,30.0,34.0,
SG,Bradley Beal,10.95,,3.28,33.0,39.0,8.0
PG,J'Covan Brown,11.68,,3.47,26.0,29.5,3.0
SG-SF,William Buford,11.4,,3.43,27.5,32.5,8.0
SF,Jae Crowder,11.45,,3.37,31.0,34.5,20.0
SG-PG,Jared Cunningham,,,,,,4.0
PF-C,Anthony Davis,,,,,,
SG,Marcus Denmon,10.82,,3.19,33.5,40.0,8.0
C,Andre Drummond,10.83,,3.39,31.5,33.5,10.0
SG,Kim English,10.59,,3.33,29.0,36.5,
C-PF,Festus Ezeli,12.35,,3.29,34.0,33.5,18.0
PF,Drew Gordon,11.35,,3.49,29.0,34.0,10.0
PF,JaMychal Green,10.63,,3.38,29.5,32.5,19.0
PF-SF,Draymond Green,11.01,,3.4,28.0,33.0,9.0
SF,Maurice Harkless,10.87,,3.25,32.5,37.0,5.0
PF,John Henson,,,,25.5,30.0,5.0
PG,Tu Holloway,11.0,,3.42,28.0,35.0,12.0
SF,Robbie Hummel,11.56,,3.41,27.5,30.0,13.0
PF,Bernard James,11.84,,3.4,30.0,32.5,6.0
SG,John Jenkins,11.36,,3.37,30.5,36.5,10.0
SG,Orlando Johnson,10.98,,3.25,32.0,39.5,13.0
SG,Darius Johnson-Odom,10.76,,3.21,33.5,41.5,17.0
PF-SF,Terrence Jones,11.57,,3.4,29.5,34.5,12.0
PF,Kevin Jones,11.94,,3.6,27.5,32.5,17.0
PF-SF,Perry Jones,11.31,,3.19,33.0,38.5,11.0
SG,Kris Joseph,,,3.46,28.5,35.0,6.0
SF,Michael Kidd-Gilchrist,11.77,,3.18,32.0,35.5,6.0
SG-PG,Doron Lamb,11.12,,3.41,29.0,33.5,2.0
SG,Jeremy Lamb,10.98,,3.25,31.5,38.0,5.0
C,Meyers Leonard,11.34,,3.41,30.0,32.5,19.0
PG,Damian Lillard,11.15,,3.34,34.5,39.5,13.0
PG,Scott Machado,11.26,,3.3,27.0,32.5,17.0
PG,Kendall Marshall,12.03,,3.23,31.0,37.0,
C,Fab Melo,12.14,,3.44,29.5,31.0,9.0
SF,Khris Middleton,11.45,,3.47,28.0,31.0,4.0
